posada,name,id,category,incomes,assets,land,house,transport_cost
"Народний депутат України, член комітету Верховної Ради України у закордонних справах, Верховна Рада України",Льовочкіна Юлія Володимирівна,df91d497-4298-4746-ae7c-0eefedba3fa5,2,21291080,57878114.97,58604,9076.2,6804256
"Народний депутат України, Верховна рада України",Кобцев Михайло Валентинович,7cf9aeb9-7f1c-4907-8d7b-47a715e387f9,2,3703414,57537807.15,1569,1747,0
"народний депутат України, Верховна Рада України",Корнацький Аркадій Олексійович,e8f69b26-a618-400f-996c-fcdb1f1fd316,2,483554,57104095.55,167265,5091.2,1132069
"Народний депутат України, Голова Комітету з питань економічної політики, Верховна Рада України",Іванчук Андрій Володимирович,3a762a3f-9725-49df-b4de-580cedcaf5d3,2,5792143,53855813.41,0,174.3,0
"Народний депутат, Верховна Рада України",Чижмарь Юрій Васильович,b74b9b1a-0a85-4d2d-8116-28f5275a3816,2,5691395,53684033.38,8320,466.6,0
"народний депутат України, Верховна Рада України",Балога Павло Іванович,1c171241-a7fd-4e13-b2a3-ae7cd797baa7,2,2478978,53567856.95,2658,429.7,0
"народний депутат України, Верховна Рада України",Мороко Юрій Миколайович,f03de090-40fa-43c1-8f4a-ebe6f52bb09a,2,1573988,52075593,0,466.1,830000
"народний депутат України, Верховна Рада України",Шенцев Дмитро Олексійович,70c4df71-fdc9-4ca4-a752-fe533ac18770,2,5426202,50831634.4,126132,2229.9,0
"Народний депутат України, Верховна Рада України",Балога Іван Іванович,ed4fb65f-fef8-45d1-9ec2-9bd26e918ff0,2,4710590,50315941.27,8043,1354.1,3381600
"Народний депутат України, Верховна Рада України",Шаповалов Юрій Анатолійович,1d02d0b6-0906-4f73-acdc-b264d998a37e,2,2735898,50285859.25,1501,97.9,0
"Народний депутат України, Верховна Рада України",Бакулін Євген Миколайович,928c9e2e-17f5-41b3-a44a-fa01ac29cb92,2,3160548,49644904.96,17348,4456.8,0
"народний депутат, Верховна Рада України",Войціцька Вікторія Михайлівна,bfc4f2e8-5aa7-48fc-af15-209758150dba,2,22451822,48868866,2717,400.5,3293211
"народний депутат України, Управління справами Верховної Ради України",Присяжнюк Олександр Анатолійович,ca243b6b-7972-4289-93ea-41ebc8f53b2e,2,5068723,48643654.22,8731,2135.3,0
"Народний депутат, Верховна Рада України",Кіссе Антон Іванович,fd048d9d-a8fd-4849-b8f9-a1d14e7ba39f,2,3808060,45558811.44,155672,1996.22,1886129
"Народний депутат України, Верховна Рада України",Бондар Віктор Васильович,1681f425-a4ea-4477-ab3c-f24edc089d89,2,491202,45264132.41,4000,689.1,0
"Народний депутат України, Верховна Рада України",Буглак Юрій Олександрович,3dbecd44-1a85-4d43-9699-3d5d4c9d76b0,2,25911533,45078205.78,5966,964.76,1646427
"народний депутат України, Верховна Рада",Рибалка Сергій Вікторович,04149e7e-01d3-43f0-adc6-a009e88cadf7,2,7104543,43355024.56,1501,424.42,7447020
"Народний депутат України, Верховна Рада України",Солод Юрій Васильович,d0df6bb9-70e7-4c4f-94b4-d5a170aa7fd8,2,1005015,42924999.34,1678,816,0
"Народний депутат України, Верховна Рада України",Королевська Наталія Юріївна,4755c02e-03e8-41e0-aba4-d8c915c957f6,2,1005015,42924999.34,1678,816,0
"народний депутат України, Верховна Рада України",Євлахов Анатолій Сергійович,e62c42c3-4e36-4e36-9358-c6806b734e0e,2,13041006,41946524.96,0,537.59,1357116
"народний депутат України, Верховна Рада України",Продан Оксана Петрівна,6abe8de1-8c17-4422-b7b4-48ef7d980946,2,7258663,41871395.31,0,3910.4,3783860
"народний депутат України, Верховна Рада України",Воропаєв Юрій Миколайович,f4c45a2a-d38c-4460-9715-eda02cb38657,2,16327055,41786171.57,3000,1248,1406004
"Народний депутат України, Верховна Рада України",Балицький Євген Віталійович,6f0638d4-b59a-42b0-8f43-cd9bd1d03425,2,4173724,40977970.07,91663.68,611.9,0
"Народний депутат України, Верховна Рада України",Алєксєєв Сергій Олегович,5e94d86d-fe76-46be-80f9-fe352c843c71,2,2197544,40942021.03,4016,1950.45,0
"Народний депутат України, Верховна Рада України",Бойко Юрій Анатолійович,4fb806f6-e0bc-446b-aee5-48441786d809,2,9192731,40146190.75,42492,1150.1,696000
"Народний депутат України , Верховна Рада України",Омельянович Денис Сергійович,36f4d93b-8a1d-47b7-ad24-2933b9c2a7cf,2,14541790,39979700.06,956475,410.5,3761612
"Народний депутат України, Верховна Рада України",Козак Тарас Романович,33f89247-a86c-4119-9843-bdffb96da18d,2,36777793,39925455.87,43636,939.3,2000000
"Народний депутат України, Верховна Рада України",Гусак Володимир Георгійович,9408ac0c-e6aa-4d97-a950-ba04ab320149,2,5591506,39557309.2,2471,727.3,2437975
"Народний депутат України, Верховна Рада України",Кісельов Андрій Миколайович,9a0fd208-25cd-42a2-a822-f1967fbecb95,2,17740223,38898281.12,0,339.6,1062100
"Народний депутат України, Верховна Рада України",Развадовський Віктор Йосипович,b34c210e-589a-4176-8f3b-81a74a82b9d2,2,6002983,37423103.64,4384,1275.3,7000000
"Народний депутат України, Верховна Рада України",Поплавський Михайло Михайлович,8386acee-079b-4ea3-a5f3-b5fef65f8a48,2,37074024,36544218.83,37569,184.8,0
"народний депутат України, Верховна Рада України",Святаш Дмитро Володимирович,243177ba-09b6-4ccc-8750-e3dacc419965,2,13363445,34887234.4,0,657.3,947205
"Народний депутат України, Верховна Рада України",Грановський Олександр Михайлович,151f85ac-4189-4d68-a34b-820f2be66cb8,2,1050467,33999351.78,0,279.5,0
"Народний депутат України, Верховна Рада України",Шкіря Ігор Миколайович,016eb825-2076-4187-b73b-707f32c4d21b,2,1475143,33792565.88,0,373.7,0
"народний депутат України, Верховна рада України",Король Віктор Миколайович,1a24cba3-68ea-455c-bb78-8ddcfc4c568b,2,2903428,32018573.63,11201,758.25,995646
"Народний депутат України, Голова Комітету Верховної Ради України з питань бюджету, Верховна Рада України",Павелко Андрій Васильович,3428baca-d99a-4440-a530-9c1ee2836374,2,265034,31923590.85,0,0,0
"Народний депутат України, Верховна рада України",Довгий Олесь Станіславович,50f061fe-1394-4ab6-870b-40f7d7fb9f97,2,6876815,31723176.79,0,807,3232644
"Народний депутат України, Верховна Рада України",Кацуба Володимир Михайлович,02a3d505-6c12-422e-bd19-f494514065e7,2,7130804,30621832.37,2700,989.9,0
"Народний депутат України, член комітету з питань паливно-енергетичного комплексу, ядерної політики та ядерної безпеки, Верховна рада України",Іоффе Юлій Якович,d74f23fd-90bd-42f5-8249-91e977336607,2,974081,30403451.97,0,238.2,1337836
"Заступник Голови комітету, Управління справами Апарату Верховної Ради України",Куніцин Сергій Володимирович,d823cb96-6b89-42da-9e23-01c799c1b657,2,1405599,28964892,1000,398.8,0
"Народний депутат України, Голова комітету з питать інформатизації та звязку, Верховна Рада України",Данченко Олександр Іванович,ef607163-44b0-4c5e-a040-ff1448510f65,2,1842907,28050438.14,3947,370,1159677
"народний депутат України, член Комітету Верховної Ради України з питань національної безпеки і оборони , Верховна Рада України",Льовочкін Сергій Володимирович,ed3c9066-0d6f-4f35-9dc7-ce5ff9a8958c,2,12889885,28001001.38,13587,3111.66,3676596
"народний депутат України, Верховна Рада України",Ткачук Геннадій Віталійович,6cbada25-2535-41cd-90cc-0564d175e11c,2,1841287,27360637.05,19997,987.1,2847119
"Народний депутат України, заступник голови Комітету ВРУ з питань транспорту, Верховна рада України",Козир Борис Юрійович,d62d0194-c511-4dbe-a305-a08684e6e640,2,332052,27267012.71,0,76,0
"Народний депутат України, Верховна Рада України",Ільюк Артем Олександрович,6ceeba3c-54a4-4f15-bbfb-5bf1d87ab794,2,5115819,26644037.9,1000,355.4,701344
